word,romaji,explanation,properties,examples
泥々,dorodoro,"thick, viscous, mushy, pulpy, slushy, syrupy, sticky; muddy, dirty (with oil, grease, etc.); to be in an ugly state (of emotions, relations, etc.), to be murky, to be sordid",popular; irregular kanji usage; onomatopoeic or mimetic word; usually written using kana alone; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
どんどん,dondon,"drumming (noise), beating, pounding, banging, booming, stamping; rapidly, quickly, steadily; continuously, one after the other, in succession",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle,ゆみは衝動買いをしてしまうタイプなので、彼女の部屋にはどんどん服が増えて行く。あんなにたくさん買って、一体いつ着るんだろう。; 花火大会がはじまった。ドンドンと大きな音をたてながら綺麗な花火が打ち上げられていく。綺麗！
のろのろ,noronoro,"slowly, sluggishly",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),吹雪のせいで車をのろのろと運転した。; 亀はノロノロ歩きます。; あの子ってどんくさい。いつもノロノロしてるよね。
のんびり,nonbiri,"at leisure, in a relaxed manner, in a carefree manner, quietly, peacefully",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),よーし、今日はのんびりしよっと。; のんびりしてたって、ただゴロゴロしてただけじゃないの？
はっきり,hakkiri,"clearly, plainly, distinctly; to be clear, to be definite, to be certain, to be exact, to become clear, to clear up",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
バラバラ,barabara,"scattered, disperse, loose, disconnected, in pieces, in drops, rustling",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; noun or participle taking the aux. verb する; noun (generic),
ひっそり,hissori,"quiet (place), still, silent, deserted; inconspicuously, modestly, quietly",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ひらひら,hirahira,"fluttering, flapping, waving; flickering (light, flame, etc.); frill, piece of thin material",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic; noun,夏になるとひまわり畑にちょうちょうがヒラヒラとたくさんやってくる。
びしょびしょ,bishobisho,"soaked, drenched, sopping, soppy, wet; incessantly (raining), drizzling",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle,誤って池に落ちてしまい、服がびしょびしょになった。; 強い雨が降ったため、傘をさしていたのに足がびしょびしょになった。
びっしょり,bisshori,"wet through, drenched",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb,
びっしり,bisshiri,"closely (packed, lined up, etc.), tightly, densely; (work) sufficiently",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぴったり,pittari,"tightly, closely; exactly, precisely; suddenly (stopping); perfectly (suited), ideally",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),電車は停車線ぴったりにとまった。; そのシャツは僕にぴったりなサイズだった。
ぴょんぴょん,pyonpyon,"hopping, skipping, lightly and repeatedly jumping",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぴんぴん,pinpin,"lively, energetic, full of life; vigorously (jumping, flopping, etc.); piercing (e.g. sound), penetrating, grating",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),公彦： おじいちゃん元気？恵理： まだまだピンピンしてるよ。”; あの魚屋ではぴんぴん生きている魚を売っている。
ふらふら,furafura,"unsteadily (e.g. on one's feet), shakily, staggering, tottering, reeling, dizzily, giddily; wavering (in one's mind), unsteadily, indecisively; aimlessly, unconsciously, whimsically, without thinking",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),久美子： お宅の息子さんは最近どう？亜季： うちの息子は最近フラフラしてばっかりで働かないの。; 道端で酔っ払いがフラフラしながら歩いていた。; 熱が高くて足元がフラフラするので階段から落ちた。
ふわり,fuwari,"softly, gently, lightly",popular; onomatopoeic or mimetic word; adverb taking the と particle,
ぶかぶか,bukabuka,"too large (clothing), baggy, loose-fitting; bulging, warping; parp, toot, blast",popular; JLPT N1; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
ぶつぶつ,butsubutsu,"grunt, grumble, complaint, mutter; pimples, spots, eruption, rash; cutting into small pieces; simmering",popular; JLPT N2; onomatopoeic or mimetic word; noun; noun (generic); adverb; adverb taking the と particle,彼は過ぎたことをいつまでもぶつぶつと言っている。; 毛虫に刺されて腕にブツブツが出来てしまった。かゆい！; テスト前になると友達はぶつぶつと独り言をよく言う。; 欲しかったゲームを買ってもらえず、ぶつぶつ文句を言いながら家まで帰る。; 同僚はいつもぶつぶつ独り言を言いながら仕事をしている。; 上司の指示に納得がいっていないのか、彼はブツブツいいながら作業を続けた。; 最近肌の調子がよくない。にきびがブツブツとできてひどい。
ぶらぶら,burabura,"dangling, swaying, swinging; (walking) leisurely, aimlessly, strolling, wandering, rambling; idly, lazily, leisurely, aimlessly",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
ぶるぶる,buruburu,"trembling (with fear, anger, etc.), shivering (with cold), shaking, quivering",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ヘトヘト,hetoheto,"completely exhausted, dead tired, knackered",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の,さすがに42.195キロ走るとヘトヘトになってなにも食べれない。; 終電に間に合わなくて、結局家まで歩いていて、へとへとになって倒れ込んだ。
ぼんやり,bonyari,"dimly, faintly, indistinctly, vaguely; absentmindedly, vacantly, carelessly; idly, aimlessly; absence of mind, fool, blockhead, dunce",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,彼女は物思いにふけってぼんやりと空を見つめていた。; (飲み会中に)恵理子: どうしたの？ぼんやりしちゃって、楽しくない？真菜: いや、楽しいんだけど飲みすぎちゃったみたい、頭がぼんやりするよ。
ぽかぽか,pokapoka,"pleasantly warm, nice and warm; repeatedly (hitting someone), again and again, over and over",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); adverb taking the と particle; adverb; noun or participle taking the aux. verb する; noun (generic),今日はポカポカ陽気だね〜。ピクニックでもしようか。; お風呂あがりは体がポカポカします。
ぽかん,pokan,"vacantly, blankly, absentmindedly; openmouthed, with one's mouth wide-open, gaping, flabbergasted; with a whack, with a thump",popular; onomatopoeic or mimetic word; adverb taking the と particle,
まごまご,magomago,"confused, flustered, at a loss",popular; JLPT N2; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ムカムカ,mukamuka,"feeling sick, feeling queasy, feeling nauseated; being angry, being offended, being disgusted",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),なんだか胸がムカムカするよ、薬もってる？; 彼女ってほんと感じが悪い。ムカムカするよ！
むっつり,muttsuri,"sullenly, taciturnly, morosely, gloomily, silently; taciturn person, uncommunicative person",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
メキメキ,mekimeki,"remarkably, markedly, rapidly; sound of breaking or creaking",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ゆっくり,yukkuri,"slowly, unhurriedly, without haste, leisurely, at one's leisure; easily (e.g. in time), well, sufficiently, amply, with time to spare; well (e.g. sleep), comfortably",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),"(お店などで）”ゆっくりしていってくださいね。”; (友達の家から帰るとき)""もっとゆっくりしていけばいいのに。""; (メールで)”ごめん、遅れる！””ゆっくりでいいよ〜”; 事故があったため、電車はゆっくりと走った。"
