index,word,romaji,explanation,properties,examples
14,がさがさ,gasagasa,"rustling; dry, rough feeling, rough to the touch; rough (of a person), course, crude, unrefined, uncouth; catching fish with a net",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic); noun taking the genitive case particle の; noun,ボールが草むらに飛んでいたので皆でガサガサと探し回った。; アルバイトの皿洗いが忙しくて初めて三日目で手がガサガサだ。
15,がっかり,gakkari,"to be disappointed, to be dejected, to be downhearted, to be discouraged, to be disheartened, to lose heart, to feel let down; to feel exhausted, to feel drained",popular; JLPT N3; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb,
16,がっしり,gasshiri,"firmly, solidly, sturdily, strongly, toughly",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
17,がっちり,gacchiri,"solid, robust, well-built; tight, taut; shrewd, calculating, astute",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),試合が始まる前にキャプテン同士ががっちりと握手を交わした。
18,がぶがぶ,gabugabu,"gulping down (a drink), guzzling, chugging; sloshing around (of liquid in one's stomach)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),暑いからといって水をガブガブ飲んでいると夏バテになっちゃうよ。; 選手たちはきつい練習で喉が渇いていたので、水をガブガブ飲んだ。
19,がやがや,gayagaya,"noisily (crowd of people talking), clamorously, in a hubbub, jabberingly, chatteringly, buzzingly; loudly (laughing)",popular; obsolete reading; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,
20,きちんと,kichinto,"properly, accurately, exactly, precisely, regularly; neatly, tidily, orderly",popular; JLPT N3; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),お母さん： 遊んだ後はおもちゃをきちんと元あった場所になおしなさい。息子： はーい、きちんとしま～す。; 甘いものを食べた後はきちんと歯を磨きましょう。
21,きっちり,kicchiri,"exactly, precisely, punctually, on the dot; closely, tightly, (fitting) perfectly; properly, without fail",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),ちちはお金のお札を綺麗にきっちりとそろえて財布にしまっている。; 夫はいつもその日使ったお金の金額をきっちりと管理している。
22,きっぱり,kippari,"clearly, plainly, distinctly, decisively, flatly, definitely, resolutely",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
23,ぎっしり,gisshiri,"tightly (packed), densely, closely, crammed",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
24,ぎゅうぎゅう,gyuugyuu,"creaking, squeaking; packing in tightly, cramming, squeezing; hard (pressing, tying, twisting, etc.), tightly, with force; going hard (on someone), tormenting (e.g. with questions)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun taking the genitive case particle の,
25,ぎょっと,gyotto,being startled,popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
26,限り限り,girigiri,"just barely, only just, at the very limit, at the last moment",popular; onomatopoeic or mimetic word; usually written using kana alone; な adjective; adjective (generic); noun taking the genitive case particle の; noun; noun (generic); adverb,
27,くしゃくしゃ,kushakusha,"crumpled, rumpled, wrinkled, creased, tousled, disheveled, dishevelled; to be annoyed, to be irritated, to be upset; noisily (chewing)",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),テストがあまりにも悪い点数だったので親に見せる前にくしゃくしゃ丸めてゴミ箱に捨てた。; 友人は物事がうまくいかないときに頭をくしゃくしゃとかきむしるくせがある。
28,くたくた,kutakuta,"exhausted, worn out, dead tired; battered (esp. of clothing), worn out, ragged, tattered; (boiling) to a pulp, to a mash, to a mush",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle; noun taking the genitive case particle の,最近できた大きいデパートを一日中歩いたので足がくたくただ。; この野菜はくたくたに煮るととても美味しくなる。
29,くどくど,kudokudo,"tediously (explain, complain, etc.), repeatedly, persistently, insistently, ad nauseam, at great length",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
30,くよくよ,kuyokuyo,"to fret (over), to brood (about), to mope, to worry; worriedly, (fretting) constantly, (worrying) over this and that, (obsessing) to no end",popular; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,
31,くるくる,kurukuru,"whirling, revolving, spinning, going round and round; coiling around, winding around, rolling around; working tirelessly, working hard; constantly changing",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),くるくる回る洗濯機を見ていると同じく目がクルクル回ってしまう。; 友達の子供の髪の毛はクルクルと巻き毛になっていてまるで天使みたいだ。
32,ぐっすり,gussuri,"soundly (sleeping), fast (asleep)",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle,和也： 顔がすっきりしてるね。健太郎： 昨日久しぶりにぐっすりと寝れたの。
33,ぐったり,guttari,"limply, wearily, listlessly, languidly, exhaustedly, unenergetically",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
34,グラグラ,guragura,"wobbling, tottering, shaking, unstably, unsteadily; wavering (e.g. over a decision), dithering, indecisively; boiling up; dizzily, giddily",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic); な adjective,
35,ぐるぐる,guruguru,"(turning) round and round, in circles; wrapping around, winding around",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,中華料理屋さんのテーブルはグルグル回る。; 誤ってサッカーボールが頭に当たって視界がぐるぐると回った。
36,こそこそ,kosokoso,"sneakily, secretly, stealthily, on the sly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),先生： そこで何をこそこそしている？学生： 先生の誕生日プレゼントを用意していたんです。先生： こそこそしてよし！; 殿様： こそしてないで出て来い！しのびがいることは分かっているんだ。猫： にゃ～殿様： やっぱりコソコソしていたぞ！
37,こっそり,kossori,"stealthily, secretly, in secret",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle,母の誕生日にこっそりとプレゼントを用意した。; 社員A： 今日は上司が一日中いないぞ！社員B： 今日はこっそり携帯をいじらなくてもいいぞ！
38,さっさと,sassato,"quickly, promptly, immediately, without delay, briskly, hurriedly, hastily; indifferently, coldly",popular; JLPT N2; onomatopoeic or mimetic word; adverb,
39,さっぱり,sappari,"feeling refreshed, feeling relieved; neat, tidy, clean; frank, open-hearted, plain, simple, light; completely, entirely; not in the least (with neg. verb), not at all; nothing at all, completely useless, hopeless, awful",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
40,さらさら,sarasara,"with a rustling sound; rippling (of a stream, etc.), murmuring, purling; slurping down (ochazuke); quickly and easily (e.g. write a letter), with ease, smoothly, fluently; smooth and dry (hair, sand, etc.), silky, powdery (e.g. snow), free-flowing (e.g. blood)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun taking the genitive case particle の; adjective (generic); noun or participle taking the aux. verb する; noun (generic),
41,ざっと,zatto,"roughly, approximately, round about, more or less; cursorily, briefly, quickly, lightly, roughly",popular; JLPT N3; onomatopoeic or mimetic word; adverb,
42,ざわざわ,zawazawa,"noisily (from many people talking), in a commotion; with a rustling sound (of leaves, branches, etc.), with a rippling sound (of the surface of a lake, etc.); feeling a chill, with a chill (up one's spine)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
43,しとしと,shitoshito,"gently (raining), drizzling; moist, damp",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
44,屡々,shibashiba,"often, again and again, frequently, repeatedly",popular; JLPT N3; usually written using kana alone; onomatopoeic or mimetic word; adverb,
45,しょんぼり,shonbori,"downheartedly, dejectedly, dispiritedly, despondently",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
46,じっくり,jikkuri,"(slowly and) carefully, without haste, thoroughly, deliberately, closely, meticulously",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
47,じめじめ,jimejime,"damp, humid, wet, clammy, muggy, soggy; gloomy, melancholy, depressing",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
48,じゃぶじゃぶ,jabujabu,"splashing (water), splashing about, with a splash; vigorously, generously (e.g. pouring sauce), plenty; greatly (using or making money)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
49,すっかり,sukkari,"all, completely, totally, entirely, thoroughly",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
50,すっきり,sukkiri,"refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; shapely, neatly, refinedly; cleanly, without trouble; clearly, plainly, distinctly; completely, thoroughly; not at all (with negative sentence), not even slightly",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
51,すっと,sutto,"straight, quickly, directly, all of a sudden; quietly, gently, softly; to feel refreshed, to feel satisfied",popular; JLPT N4; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
52,すやすや,suyasuya,"(sleeping) peacefully, quietly, soundly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
53,ずるずる,zuruzuru,"(dragging a large or heavy item) slowly; (falling) little by little, (slipping) gradually, (drawing back) slowly, with a slither; on and on, while putting off, slovenly, interminably; with a slurp, with a sniffle; loose, lax, inconclusive, unresolved",popular; obsolete reading; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),彼はずるずるとラーメンをすすった。; 彼女は重い荷物をずるずると引きずっていた。
54,せかせか,sekaseka,"restlessly, hurriedly, agitatedly, fidgeting",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
55,そっと,sotto,"softly, gently, quietly, lightly; stealthily, secretly, in secret; to leave alone, to leave as it is",popular; JLPT N2; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
56,そわそわ,sowasowa,"restlessly, nervously, uneasily, in a fidget",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
57,ぞろぞろ,zorozoro,"in a crowd, in droves, in a stream, in succession; crawling (of insects), swarming; dragging (e.g. along the ground), trailing, stretching out",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,人の行列が蟻のようにぞろぞろと連なっていた。; イベントが終わったのだろう。会場から人がぞろぞろと出てきた。
58,たっぷり,tappuri,"plentifully, amply, abundantly, copiously, generously, fully, a lot; loosely, with room to spare, with enough space, (large) enough; a good (e.g. two weeks, ten kilometres), a full, at least, no less than",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); suffix; noun or participle taking the aux. verb する; noun (generic),
59,たらたら,taratara,"drop-by-drop, dripping, dribbling, in a trickle; incessantly (esp. speaking, e.g. complaints, compliments), in great profusion",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
60,だぶだぶ,dabudabu,"loose (of clothing), baggy; flabby, saggy; sloshing, slopping, overflowing; plenty (of pouring a liquid), drowning (e.g. in a sauce)",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),2年前の自分の服を着るとサイズがちょっとダブダブだ。; 居酒屋でコップにダブダブと酒を注いでもらった。
61,だらだら,daradara,"in drops, dripping, trickling, streaming, flowing; gently (sloping); sluggishly, endlessly, lengthily; leisurely, idly, slowly, slovenly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),今日は特に予定もないので、家でダラダラすることにしよう。ゲームしたり漫画読んだり、ネットしたり、のんびりしよう。; 今日はなんだかやる気がでない。ダラダラしてしまい勉強が手につかない。
62,ちぐはぐ,chiguhagu,"mismatched, odd, irregular; inconsistent, incoherent, confused",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun; noun (generic),
63,ちゃんと,chanto,"diligently, seriously, earnestly, reliably, steadily, legitimately; perfectly, properly, exactly, orderly, punctually, regularly, safely, in good condition; sufficiently, satisfactorily; quickly",popular; JLPT N3; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),家を出る前に、ちゃんと鍵を閉めたか確認するようにしています。; 杉本： みきちゃんってどんな子？ 釘本： 礼儀正しくって、約束も守るし、ちゃんとした人だよ。
64,ちょっぴり,choppiri,"a tiny bit, just a smidgin, a wee bit, very slightly",popular; onomatopoeic or mimetic word; colloquial; adverb; adverb taking the と particle,
65,ちらちら,chirachira,"falling lightly (e.g. snow, petals, confetti), fluttering; flickering, twinkling, glimmering, sparkling, dazzling; appearing and disappearing, catching glimpses; glancing (repeatedly); (hear, see) from time to time, intermittently",popular; onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),桜がちらちらと舞っている。; 気になる男の子が隣の席に座ったのでちらちらと見てしまう。; テスト中に隣の席の人がチラチラとカンニングしてくる。
66,つるつる,tsurutsuru,"smooth, shiny, slick; slippery, greasy; slurping (noodles)",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; noun or participle taking the aux. verb する; noun (generic); adverb taking the と particle,昨日の雨で廊下が濡れてつるつるしているので、気をつけて歩く。
67,てくてく,tekuteku,"(walking a long distance) at a steady pace, intently, earnestly, single-mindedly, trudgingly, ploddingly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
68,とんとん,tonton,"with a tap, with a knock, with a knocking sound, with a rap-tap; smoothly (proceed), without a hitch, without delay; even, equal, break-even",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),
69,ドキッと,dokixtsuto,"being startled, getting a shock",popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
70,どしどし,doshidoshi,"rapidly, one after the other; without hesitation, unreservedly, freely; sound of tramping, stomping",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
71,泥々,dorodoro,"thick, viscous, mushy, pulpy, slushy, syrupy, sticky; muddy, dirty (with oil, grease, etc.); to be in an ugly state (of emotions, relations, etc.), to be murky, to be sordid",popular; irregular kanji usage; onomatopoeic or mimetic word; usually written using kana alone; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
72,どんどん,dondon,"drumming (noise), beating, pounding, banging, booming, stamping; rapidly, quickly, steadily; continuously, one after the other, in succession",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle,ゆみは衝動買いをしてしまうタイプなので、彼女の部屋にはどんどん服が増えて行く。あんなにたくさん買って、一体いつ着るんだろう。; 花火大会がはじまった。ドンドンと大きな音をたてながら綺麗な花火が打ち上げられていく。綺麗！
73,のろのろ,noronoro,"slowly, sluggishly",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),吹雪のせいで車をのろのろと運転した。; 亀はノロノロ歩きます。; あの子ってどんくさい。いつもノロノロしてるよね。
74,のんびり,nonbiri,"at leisure, in a relaxed manner, in a carefree manner, quietly, peacefully",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),よーし、今日はのんびりしよっと。; のんびりしてたって、ただゴロゴロしてただけじゃないの？
75,はっきり,hakkiri,"clearly, plainly, distinctly; to be clear, to be definite, to be certain, to be exact, to become clear, to clear up",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
76,バラバラ,barabara,"scattered, disperse, loose, disconnected, in pieces, in drops, rustling",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; noun or participle taking the aux. verb する; noun (generic),
77,ひっそり,hissori,"quiet (place), still, silent, deserted; inconspicuously, modestly, quietly",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
78,ひらひら,hirahira,"fluttering, flapping, waving; flickering (light, flame, etc.); frill, piece of thin material",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic; noun,夏になるとひまわり畑にちょうちょうがヒラヒラとたくさんやってくる。
79,びしょびしょ,bishobisho,"soaked, drenched, sopping, soppy, wet; incessantly (raining), drizzling",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle,誤って池に落ちてしまい、服がびしょびしょになった。; 強い雨が降ったため、傘をさしていたのに足がびしょびしょになった。
80,びっしょり,bisshori,"wet through, drenched",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb,
81,びっしり,bisshiri,"closely (packed, lined up, etc.), tightly, densely; (work) sufficiently",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
82,ぴったり,pittari,"tightly, closely; exactly, precisely; suddenly (stopping); perfectly (suited), ideally",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),電車は停車線ぴったりにとまった。; そのシャツは僕にぴったりなサイズだった。
83,ぴょんぴょん,pyonpyon,"hopping, skipping, lightly and repeatedly jumping",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
84,ぴんぴん,pinpin,"lively, energetic, full of life; vigorously (jumping, flopping, etc.); piercing (e.g. sound), penetrating, grating",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),公彦： おじいちゃん元気？恵理： まだまだピンピンしてるよ。”; あの魚屋ではぴんぴん生きている魚を売っている。
85,ふらふら,furafura,"unsteadily (e.g. on one's feet), shakily, staggering, tottering, reeling, dizzily, giddily; wavering (in one's mind), unsteadily, indecisively; aimlessly, unconsciously, whimsically, without thinking",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),久美子： お宅の息子さんは最近どう？亜季： うちの息子は最近フラフラしてばっかりで働かないの。; 道端で酔っ払いがフラフラしながら歩いていた。; 熱が高くて足元がフラフラするので階段から落ちた。
86,ふわり,fuwari,"softly, gently, lightly",popular; onomatopoeic or mimetic word; adverb taking the と particle,
87,ぶかぶか,bukabuka,"too large (clothing), baggy, loose-fitting; bulging, warping; parp, toot, blast",popular; JLPT N1; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
88,ぶつぶつ,butsubutsu,"grunt, grumble, complaint, mutter; pimples, spots, eruption, rash; cutting into small pieces; simmering",popular; JLPT N2; onomatopoeic or mimetic word; noun; noun (generic); adverb; adverb taking the と particle,彼は過ぎたことをいつまでもぶつぶつと言っている。; 毛虫に刺されて腕にブツブツが出来てしまった。かゆい！; テスト前になると友達はぶつぶつと独り言をよく言う。; 欲しかったゲームを買ってもらえず、ぶつぶつ文句を言いながら家まで帰る。; 同僚はいつもぶつぶつ独り言を言いながら仕事をしている。; 上司の指示に納得がいっていないのか、彼はブツブツいいながら作業を続けた。; 最近肌の調子がよくない。にきびがブツブツとできてひどい。
89,ぶらぶら,burabura,"dangling, swaying, swinging; (walking) leisurely, aimlessly, strolling, wandering, rambling; idly, lazily, leisurely, aimlessly",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
90,ぶるぶる,buruburu,"trembling (with fear, anger, etc.), shivering (with cold), shaking, quivering",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
91,ヘトヘト,hetoheto,"completely exhausted, dead tired, knackered",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の,さすがに42.195キロ走るとヘトヘトになってなにも食べれない。; 終電に間に合わなくて、結局家まで歩いていて、へとへとになって倒れ込んだ。
92,ぼんやり,bonyari,"dimly, faintly, indistinctly, vaguely; absentmindedly, vacantly, carelessly; idly, aimlessly; absence of mind, fool, blockhead, dunce",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,彼女は物思いにふけってぼんやりと空を見つめていた。; (飲み会中に)恵理子: どうしたの？ぼんやりしちゃって、楽しくない？真菜: いや、楽しいんだけど飲みすぎちゃったみたい、頭がぼんやりするよ。
93,ぽかぽか,pokapoka,"pleasantly warm, nice and warm; repeatedly (hitting someone), again and again, over and over",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); adverb taking the と particle; adverb; noun or participle taking the aux. verb する; noun (generic),今日はポカポカ陽気だね〜。ピクニックでもしようか。; お風呂あがりは体がポカポカします。
94,ぽかん,pokan,"vacantly, blankly, absentmindedly; openmouthed, with one's mouth wide-open, gaping, flabbergasted; with a whack, with a thump",popular; onomatopoeic or mimetic word; adverb taking the と particle,
95,まごまご,magomago,"confused, flustered, at a loss",popular; JLPT N2; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
96,ムカムカ,mukamuka,"feeling sick, feeling queasy, feeling nauseated; being angry, being offended, being disgusted",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),なんだか胸がムカムカするよ、薬もってる？; 彼女ってほんと感じが悪い。ムカムカするよ！
97,むっつり,muttsuri,"sullenly, taciturnly, morosely, gloomily, silently; taciturn person, uncommunicative person",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
98,メキメキ,mekimeki,"remarkably, markedly, rapidly; sound of breaking or creaking",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
